UF,COD_UF,COD_MUNIC,NOME_DO_MUNICIPIO,Populacao_2022
RO,11,00015,Alta Floresta D'Oeste, 21 494
RO,11,00023,Ariquemes, 96 833
RO,11,00031,Cabixi, 5 351
RO,11,00049,Cacoal, 86 887
RO,11,00056,Cerejeiras, 15 890
RO,11,00064,Colorado do Oeste, 15 663
RO,11,00072,Corumbiara, 7 519
RO,11,00080,Costa Marques, 12 627
RO,11,00098,Espigão D'Oeste, 29 414
RO,11,00106,Guajará-Mirim, 39 387
RO,11,00114,Jaru, 50 591
RO,11,00122,Ji-Paraná, 124 333
RO,11,00130,Machadinho D'Oeste, 30 707
RO,11,00148,Nova Brasilândia D'Oeste, 15 679
RO,11,00155,Ouro Preto do Oeste, 35 044
RO,11,00189,Pimenta Bueno, 35 079
RO,11,00205,Porto Velho, 460 434
RO,11,00254,Presidente Médici, 19 327
RO,11,00262,Rio Crespo, 3 471
RO,11,00288,Rolim de Moura, 56 406
RO,11,00296,Santa Luzia D'Oeste, 7 419
RO,11,00304,Vilhena, 95 832
RO,11,00320,São Miguel do Guaporé, 21 635
RO,11,00338,Nova Mamoré, 25 444
RO,11,00346,Alvorada D'Oeste, 13 117
RO,11,00379,Alto Alegre dos Parecis, 11 479
RO,11,00403,Alto Paraíso, 16 320
RO,11,00452,Buritis, 27 992
RO,11,00502,Novo Horizonte do Oeste, 7 667
RO,11,00601,Cacaulândia, 4 150
RO,11,00700,Campo Novo de Rondônia, 8 844
RO,11,00809,Candeias do Jamari, 22 310
RO,11,00908,Castanheiras, 3 233
RO,11,00924,Chupinguaia, 9 324
RO,11,00940,Cujubim, 14 863
RO,11,01005,Governador Jorge Teixeira, 8 001
RO,11,01104,Itapuã do Oeste, 8 548
RO,11,01203,Ministro Andreazza, 6 466
RO,11,01302,Mirante da Serra, 9 235
RO,11,01401,Monte Negro, 11 548
RO,11,01435,Nova União, 6 200
RO,11,01450,Parecis, 4 125
RO,11,01468,Pimenteiras do Oeste, 2 156
RO,11,01476,Primavera de Rondônia, 3 076
RO,11,01484,São Felipe D'Oeste, 5 258
RO,11,01492,São Francisco do Guaporé, 16 286
RO,11,01500,Seringueiras, 11 171
RO,11,01559,Teixeirópolis, 4 256
RO,11,01609,Theobroma, 8 113
RO,11,01708,Urupá, 10 725
RO,11,01757,Vale do Anari, 7 788
RO,11,01807,Vale do Paraíso, 6 479
AC,12,00013,Acrelândia, 14 021
AC,12,00054,Assis Brasil, 8 100
AC,12,00104,Brasiléia, 26 000
AC,12,00138,Bujari, 12 917
AC,12,00179,Capixaba, 10 392
AC,12,00203,Cruzeiro do Sul, 91 888
AC,12,00252,Epitaciolândia, 18 757
AC,12,00302,Feijó, 35 426
AC,12,00328,Jordão, 9 222
AC,12,00336,Mâncio Lima, 19 294
AC,12,00344,Manoel Urbano, 11 996
AC,12,00351,Marechal Thaumaturgo, 17 093
AC,12,00385,Plácido de Castro, 16 560
AC,12,00393,Porto Walter, 10 735
AC,12,00401,Rio Branco, 364 756
AC,12,00427,Rodrigues Alves, 14 938
AC,12,00435,Santa Rosa do Purus, 6 723
AC,12,00450,Senador Guiomard, 21 454
AC,12,00500,Sena Madureira, 41 343
AC,12,00609,Tarauacá, 43 467
AC,12,00708,Xapuri, 18 243
AC,12,00807,Porto Acre, 16 693
AM,13,00029,Alvarães, 15 866
AM,13,00060,Amaturá, 10 819
AM,13,00086,Anamã, 9 962
AM,13,00102,Anori, 17 194
AM,13,00144,Apuí, 20 647
AM,13,00201,Atalaia do Norte, 15 314
AM,13,00300,Autazes, 41 564
AM,13,00409,Barcelos, 18 834
AM,13,00508,Barreirinha, 31 051
AM,13,00607,Benjamin Constant, 37 648
AM,13,00631,Beruri, 20 718
AM,13,00680,Boa Vista do Ramos, 23 785
AM,13,00706,Boca do Acre, 35 447
AM,13,00805,Borba, 33 080
AM,13,00839,Caapiranga, 13 469
AM,13,00904,Canutama, 16 869
AM,13,01001,Carauari, 28 742
AM,13,01100,Careiro, 30 792
AM,13,01159,Careiro da Várzea, 19 637
AM,13,01209,Coari, 70 616
AM,13,01308,Codajás, 23 549
AM,13,01407,Eirunepé, 33 170
AM,13,01506,Envira, 17 186
AM,13,01605,Fonte Boa, 25 871
AM,13,01654,Guajará, 13 815
AM,13,01704,Humaitá, 57 473
AM,13,01803,Ipixuna, 24 311
AM,13,01852,Iranduba, 61 163
AM,13,01902,Itacoatiara, 103 598
AM,13,01951,Itamarati, 10 937
AM,13,02009,Itapiranga, 10 162
AM,13,02108,Japurá, 8 858
AM,13,02207,Juruá, 10 742
AM,13,02306,Jutaí, 25 172
AM,13,02405,Lábrea, 45 448
AM,13,02504,Manacapuru, 101 883
AM,13,02553,Manaquiri, 17 107
AM,13,02603,Manaus,2 063 689
AM,13,02702,Manicoré, 53 914
AM,13,02801,Maraã, 15 529
AM,13,02900,Maués, 61 204
AM,13,03007,Nhamundá, 20 136
AM,13,03106,Nova Olinda do Norte, 27 062
AM,13,03205,Novo Airão, 15 761
AM,13,03304,Novo Aripuanã, 23 818
AM,13,03403,Parintins, 96 372
AM,13,03502,Pauini, 19 373
AM,13,03536,Presidente Figueiredo, 30 668
AM,13,03569,Rio Preto da Eva, 24 936
AM,13,03601,Santa Isabel do Rio Negro, 14 164
AM,13,03700,Santo Antônio do Içá, 28 211
AM,13,03809,São Gabriel da Cachoeira, 51 795
AM,13,03908,São Paulo de Olivença, 32 967
AM,13,03957,São Sebastião do Uatumã, 11 670
AM,13,04005,Silves, 11 559
AM,13,04062,Tabatinga, 66 764
AM,13,04104,Tapauá, 19 599
AM,13,04203,Tefé, 73 669
AM,13,04237,Tonantins, 19 247
AM,13,04260,Uarini, 14 431
AM,13,04302,Urucará, 18 631
AM,13,04401,Urucurituba, 23 945
RR,14,00027,Amajari, 13 927
RR,14,00050,Alto Alegre, 21 096
RR,14,00100,Boa Vista, 413 486
RR,14,00159,Bonfim, 13 923
RR,14,00175,Cantá, 18 682
RR,14,00209,Caracaraí, 20 957
RR,14,00233,Caroebe, 10 656
RR,14,00282,Iracema, 10 023
RR,14,00308,Mucajaí, 18 095
RR,14,00407,Normandia, 13 986
RR,14,00456,Pacaraima, 19 305
RR,14,00472,Rorainópolis, 32 647
RR,14,00506,São João da Baliza, 8 858
RR,14,00605,São Luiz, 7 315
RR,14,00704,Uiramutã, 13 751
PA,15,00107,Abaetetuba, 158 188
PA,15,00131,Abel Figueiredo, 6 136
PA,15,00206,Acará, 59 023
PA,15,00305,Afuá, 37 765
PA,15,00347,Água Azul do Norte, 18 080
PA,15,00404,Alenquer, 69 377
PA,15,00503,Almeirim, 34 280
PA,15,00602,Altamira, 126 279
PA,15,00701,Anajás, 28 011
PA,15,00800,Ananindeua, 478 778
PA,15,00859,Anapu, 31 850
PA,15,00909,Augusto Corrêa, 44 573
PA,15,00958,Aurora do Pará, 23 774
PA,15,01006,Aveiro, 18 290
PA,15,01105,Bagre, 31 892
PA,15,01204,Baião, 51 641
PA,15,01253,Bannach, 4 031
PA,15,01303,Barcarena, 126 650
PA,15,01402,Belém,1 303 403
PA,15,01451,Belterra, 18 099
PA,15,01501,Benevides, 63 567
PA,15,01576,Bom Jesus do Tocantins, 18 005
PA,15,01600,Bonito, 12 622
PA,15,01709,Bragança, 123 082
PA,15,01725,Brasil Novo, 24 718
PA,15,01758,Brejo Grande do Araguaia, 6 783
PA,15,01782,Breu Branco, 45 712
PA,15,01808,Breves, 106 968
PA,15,01907,Bujaru, 24 383
PA,15,01956,Cachoeira do Piriá, 19 630
PA,15,02004,Cachoeira do Arari, 23 981
PA,15,02103,Cametá, 134 184
PA,15,02152,Canaã dos Carajás, 77 079
PA,15,02202,Capanema, 70 394
PA,15,02301,Capitão Poço, 56 506
PA,15,02400,Castanhal, 192 256
PA,15,02509,Chaves, 20 757
PA,15,02608,Colares, 12 868
PA,15,02707,Conceição do Araguaia, 44 617
PA,15,02756,Concórdia do Pará, 26 881
PA,15,02764,Cumaru do Norte, 14 036
PA,15,02772,Curionópolis, 19 950
PA,15,02806,Curralinho, 33 903
PA,15,02855,Curuá, 14 117
PA,15,02905,Curuçá, 41 262
PA,15,02939,Dom Eliseu, 58 484
PA,15,02954,Eldorado do Carajás, 28 192
PA,15,03002,Faro, 8 728
PA,15,03044,Floresta do Araguaia, 17 898
PA,15,03077,Garrafão do Norte, 24 703
PA,15,03093,Goianésia do Pará, 26 362
PA,15,03101,Gurupá, 31 786
PA,15,03200,Igarapé-Açu, 35 797
PA,15,03309,Igarapé-Miri, 64 831
PA,15,03408,Inhangapi, 10 325
PA,15,03457,Ipixuna do Pará, 30 329
PA,15,03507,Irituia, 30 955
PA,15,03606,Itaituba, 123 314
PA,15,03705,Itupiranga, 49 754
PA,15,03754,Jacareacanga, 24 042
PA,15,03804,Jacundá, 37 707
PA,15,03903,Juruti, 50 881
PA,15,04000,Limoeiro do Ajuru, 29 569
PA,15,04059,Mãe do Rio, 34 353
PA,15,04109,Magalhães Barata, 8 115
PA,15,04208,Marabá, 266 533
PA,15,04307,Maracanã, 25 971
PA,15,04406,Marapanim, 26 573
PA,15,04422,Marituba, 111 785
PA,15,04455,Medicilândia, 27 094
PA,15,04505,Melgaço, 27 881
PA,15,04604,Mocajuba, 27 198
PA,15,04703,Moju, 84 094
PA,15,04752,Mojuí dos Campos, 23 501
PA,15,04802,Monte Alegre, 60 012
PA,15,04901,Muaná, 45 368
PA,15,04950,Nova Esperança do Piriá, 20 478
PA,15,04976,Nova Ipixuna, 13 955
PA,15,05007,Nova Timboteua, 12 806
PA,15,05031,Novo Progresso, 33 638
PA,15,05064,Novo Repartimento, 60 732
PA,15,05106,Óbidos, 52 229
PA,15,05205,Oeiras do Pará, 33 844
PA,15,05304,Oriximiná, 68 294
PA,15,05403,Ourém, 17 855
PA,15,05437,Ourilândia do Norte, 32 467
PA,15,05486,Pacajá, 41 097
PA,15,05494,Palestina do Pará, 6 885
PA,15,05502,Paragominas, 105 550
PA,15,05536,Parauapebas, 267 836
PA,15,05551,Pau D'Arco, 6 931
PA,15,05601,Peixe-Boi, 8 285
PA,15,05635,Piçarra, 12 832
PA,15,05650,Placas, 18 668
PA,15,05700,Ponta de Pedras, 24 984
PA,15,05809,Portel, 62 503
PA,15,05908,Porto de Moz, 40 597
PA,15,06005,Prainha, 35 577
PA,15,06104,Primavera, 10 851
PA,15,06112,Quatipuru, 11 524
PA,15,06138,Redenção, 85 597
PA,15,06161,Rio Maria, 18 384
PA,15,06187,Rondon do Pará, 53 143
PA,15,06195,Rurópolis, 35 769
PA,15,06203,Salinópolis, 44 772
PA,15,06302,Salvaterra, 24 129
PA,15,06351,Santa Bárbara do Pará, 21 087
PA,15,06401,Santa Cruz do Arari, 7 445
PA,15,06500,Santa Izabel do Pará, 73 019
PA,15,06559,Santa Luzia do Pará, 20 370
PA,15,06583,Santa Maria das Barreiras, 16 548
PA,15,06609,Santa Maria do Pará, 24 624
PA,15,06708,Santana do Araguaia, 32 413
PA,15,06807,Santarém, 331 942
PA,15,06906,Santarém Novo, 6 116
PA,15,07003,Santo Antônio do Tauá, 27 461
PA,15,07102,São Caetano de Odivelas, 16 666
PA,15,07151,São Domingos do Araguaia, 21 092
PA,15,07201,São Domingos do Capim, 30 599
PA,15,07300,São Félix do Xingu, 65 418
PA,15,07409,São Francisco do Pará, 14 894
